Age,Height_cm,Weight_kg,Income
25,165.4,63.2,35444.57
39,173.8,73.9,153423.52
50,165.4,63.4,19110.72
78,169.3,70.5,14082.99
28,174.5,72.4,29182.18
24,166.8,58.5,10032.22
22,161.2,59.2,12542.36
87,166.9,66.6,40332.91
88,163.0,69.4,52757.79
42,166.5,65.8,39425.97
42,170.0,67.2,78670.23
42,170.0,70.3,32822.52
25,176.3,65.3,10000.00
69,164.5,68.8,97918.15
89,169.9,71.1,46403.83
44,179.6,75.9,93640.31
35,172.3,73.4,87794.08
37,176.6,75.8,132437.69
35,169.6,68.6,22520.19
29,175.6,75.6,17164.14
72,168.7,68.0,46102.94
42,160.1,62.0,43701.13
55,174.5,74.7,153721.39
88,172.6,70.4,79214.70
47,170.3,69.2,57129.65
27,163.4,60.6,16760.36
31,180.9,74.7,26496.49
86,175.6,68.9,11687.73
69,165.6,66.9,23954.19
59,180.0,76.8,58969.97
25,179.6,73.9,75054.80
67,168.6,67.1,89102.42
26,164.0,61.4,99548.42
76,173.3,72.6,83491.70
43,168.6,71.2,29119.31
21,188.8,89.5,25150.95
80,162.8,63.1,161121.29
89,181.0,78.1,35206.32
69,167.1,61.6,36656.81
73,168.4,63.7,45006.95
50,164.1,68.6,13066.18
76,170.8,70.5,42409.39
32,163.9,67.8,12242.71
49,168.4,62.4,88079.81
84,161.2,62.1,33587.36
61,156.0,53.2,29602.34
62,168.4,61.6,10000.00
58,179.1,74.3,66743.16
29,171.7,76.2,200000.00
25,168.8,66.0,29889.09
21,188.3,88.9,47874.67
32,153.7,55.9,200000.00
29,171.9,74.6,200000.00
74,163.8,66.4,16843.58
63,170.3,73.6,148711.08
54,164.5,63.5,10000.00
45,165.2,66.3,10000.00
31,171.9,71.3,10000.00
66,168.6,75.8,35811.47
80,164.8,67.9,10000.00
60,160.5,61.4,162564.05
30,175.3,79.9,51920.74
52,168.3,74.3,87299.97
85,161.3,60.5,36604.18
72,158.0,60.8,29333.67
73,171.8,69.7,46363.51
36,167.7,62.8,200000.00
77,171.1,70.8,59838.17
71,187.7,75.4,57839.67
54,175.6,74.2,19391.72
89,169.7,69.0,20266.60
54,158.2,59.9,27169.58
33,181.3,78.2,86992.09
26,170.5,68.5,67028.68
30,187.1,78.9,10000.00
86,164.3,60.6,74813.92
59,160.9,62.0,95534.32
46,180.0,77.6,84995.22
38,171.7,73.3,83527.42
59,178.7,75.2,85454.25
83,161.4,59.3,69573.23
23,161.3,61.5,15037.64
70,162.8,57.0,119462.33
32,150.5,54.9,200000.00
47,166.3,68.1,156258.81
81,156.9,63.0,63995.11
69,170.5,70.6,46785.55
49,169.3,65.4,28425.49
83,163.7,62.2,10000.00
46,173.6,71.8,119369.42
42,171.1,68.1,13167.34
37,179.3,73.6,36202.21
78,182.9,78.5,35506.06
88,170.9,73.0,154889.79
41,173.0,72.9,90918.70
67,174.1,75.3,28758.63
62,183.5,78.4,45149.69
54,160.1,65.6,41463.64
51,166.0,67.2,87663.22
87,160.3,62.9,20135.25
81,165.6,65.6,65169.43
59,167.3,59.7,41651.35
58,163.9,68.6,200000.00
85,172.9,72.7,24568.68
36,173.5,69.2,150472.97
29,169.9,75.5,34166.73
73,172.3,71.3,46097.20
47,182.4,78.7,169526.94
21,172.5,68.5,82022.07
57,160.7,60.1,45321.24
87,164.4,60.0,36442.32
31,163.9,63.1,175197.71
84,179.9,77.3,36327.18
64,166.5,68.2,36267.04
89,162.8,58.1,27165.38
71,162.0,60.6,200000.00
88,166.0,62.4,16154.72
35,165.7,68.6,64813.24
51,164.7,67.1,67664.58
46,176.1,68.7,17024.04
63,167.9,66.8,39217.95
85,169.4,73.1,35794.63
62,175.2,75.9,29053.59
61,175.8,73.1,55039.02
74,165.7,67.2,66315.27
68,178.4,78.8,38620.15
28,169.8,74.5,200000.00
76,165.9,64.8,27678.80
59,176.4,78.8,63204.68
34,172.7,69.9,55822.77
32,172.1,69.3,86589.46
70,167.5,66.8,60568.16
75,170.0,69.8,23564.99
82,164.9,67.5,89966.76
37,168.5,67.9,50992.46
87,167.1,65.5,121070.50
35,171.7,68.2,101464.95
25,180.8,80.2,86135.75
33,168.8,68.5,116046.40
33,175.5,74.8,30135.61
22,170.9,71.3,54487.79
18,178.0,80.2,136322.86
19,181.9,82.8,61957.79
46,166.4,68.7,25077.83
23,158.0,59.5,19695.19
39,161.3,58.6,100469.81
51,176.9,73.7,30463.93
60,172.2,70.9,47799.82
30,163.2,61.9,178007.71
35,181.2,80.5,23495.35
76,167.8,67.8,145307.72
69,167.5,64.6,20327.83
47,168.0,71.8,147150.85
88,178.9,78.1,58358.52
55,164.6,65.3,10753.17
25,179.0,80.2,16722.30
25,173.9,70.2,23078.47
33,179.6,75.5,56405.16
39,175.4,72.8,137739.79
32,172.5,73.0,70984.60
72,174.9,74.4,23043.59
89,170.7,79.3,183697.85
55,165.1,62.5,47311.86
60,174.6,73.4,21953.18
83,169.5,68.2,45056.34
40,178.8,78.1,50455.88
60,178.6,79.2,23192.69
45,174.1,73.4,117741.28
86,176.9,76.2,36101.27
77,173.5,71.2,23705.44
62,173.5,77.1,86614.90
72,165.6,64.4,71417.25
76,171.8,61.4,101559.04
48,173.1,70.1,99488.49
57,172.6,78.6,27592.07
38,171.9,67.4,45067.18
29,171.5,72.0,10000.00
87,184.6,79.4,56494.64
28,171.0,71.6,62065.49
79,175.2,77.0,41680.23
59,170.2,68.1,21096.33
18,172.4,75.2,129403.91
75,164.1,67.9,16824.97
55,166.0,67.1,193316.68
31,166.7,66.5,12735.06
21,160.3,61.0,39378.49
72,171.0,67.7,10000.00
57,163.9,61.1,25306.01
51,162.6,65.2,62118.28
86,185.2,83.4,66353.02
86,178.2,77.5,40242.91
19,184.6,84.8,31782.32
37,169.8,69.1,200000.00
40,168.2,71.9,46412.04
48,173.1,67.0,200000.00
54,173.0,77.2,198721.69
70,168.0,67.6,27375.85
36,165.1,63.3,32284.19
41,174.6,72.8,200000.00
26,159.3,65.6,14295.94
19,174.5,71.1,176521.25
37,168.3,68.3,45165.05
64,175.9,71.2,10000.00
46,177.9,77.2,18037.19
35,174.4,76.8,40307.84
40,162.2,64.0,31429.46
88,159.9,60.3,26169.82
90,159.3,59.7,13179.16
60,166.9,67.2,48435.44
88,160.0,63.1,197541.26
88,169.9,71.9,193367.41
64,163.9,61.3,148201.10
75,166.2,64.8,42629.30
21,170.1,73.8,149345.32
32,172.9,73.2,12089.93
23,164.5,65.4,86944.93
72,167.1,69.4,200000.00
69,172.6,64.5,97534.17
52,169.2,70.7,11615.83
66,169.0,76.1,22344.33
83,174.8,73.6,27825.01
31,163.8,65.2,18908.56
70,175.9,73.3,37168.70
82,186.0,80.2,45663.89
72,172.0,69.5,40624.09
70,166.9,69.5,22175.34
70,159.9,63.1,135348.34
32,166.6,64.0,42392.33
33,172.6,69.6,13854.05
84,169.2,66.9,33420.14
36,169.6,69.5,30179.02
71,169.2,68.1,10000.00
50,166.5,66.3,35365.39
84,169.6,65.8,158600.24
38,164.3,69.7,39771.95
83,170.7,70.8,42255.25
82,171.1,68.7,81918.39
18,179.8,75.2,29213.03
64,164.6,63.9,18704.59
57,175.1,77.1,93924.30
52,175.9,78.8,49054.60
25,168.2,66.0,10682.32
66,165.3,64.3,72212.66
42,179.4,72.2,66446.83
56,160.9,57.3,10347.16
39,164.3,65.2,10000.00
79,162.5,62.4,27396.79
55,165.3,64.5,200000.00
50,168.4,66.6,200000.00
79,180.4,79.1,195139.79
24,167.1,67.4,25327.51
28,184.7,85.0,23667.08
31,176.3,82.4,15527.12
52,166.5,63.3,16428.66
26,166.6,62.9,87327.00
80,171.4,75.4,200000.00
66,170.5,69.6,39844.01
52,161.8,65.3,30534.98
43,164.9,61.9,21758.59
37,159.2,57.6,41126.00
89,182.3,82.4,23014.81
58,171.0,66.4,14063.03
49,167.8,71.9,58812.05
19,165.3,68.1,24230.92
34,166.1,64.2,31154.95
51,159.7,65.9,50651.68
50,171.1,71.9,10000.00
56,175.4,73.2,12591.70
25,181.0,78.9,56259.31
34,175.6,68.2,17543.23
47,175.2,69.7,52217.97
36,178.2,78.5,25825.12
27,168.9,69.1,64282.76
25,160.6,66.3,11837.18
81,175.4,75.0,23692.76
83,165.0,61.8,200000.00
78,169.4,65.8,69668.63
21,162.9,61.2,115169.37
69,178.1,74.4,50391.69
83,176.0,74.8,15922.28
27,160.2,65.2,25691.33
88,170.7,71.8,27727.65
