age,height_cm,weight_kg,income,bmi,bmi_category
24,162.3,60.4,31263.85,22.93,Normal
74,166.2,66.1,50749.03,23.93,Normal
65,171.9,69.8,91443.00,23.62,Normal
50,165.6,68.3,106980.41,24.91,Normal
49,168.1,70.4,66586.80,24.91,Normal
80,173.1,66.4,18906.83,22.16,Normal
24,167.6,70.6,10000.00,25.13,Overweight
68,171.6,68.8,42218.67,23.36,Normal
32,181.1,79.4,119842.62,24.21,Normal
24,168.8,65.6,74944.71,23.02,Normal
56,178.3,77.4,62168.77,24.35,Normal
89,173.9,80.2,49684.80,26.52,Overweight
71,159.7,61.6,66036.97,24.15,Normal
73,162.3,61.8,20436.88,23.46,Normal
70,164.2,64.0,100907.54,23.74,Normal
75,164.0,60.1,107093.13,22.35,Normal
55,169.4,73.2,36316.93,25.51,Overweight
27,174.3,73.9,74093.65,24.32,Normal
79,178.8,73.6,10666.72,23.02,Normal
50,172.2,68.1,58795.55,22.97,Normal
54,166.9,66.9,44354.33,24.02,Normal
45,155.4,60.8,155295.95,25.18,Overweight
31,170.5,66.3,41814.56,22.81,Normal
85,170.2,72.9,109269.91,25.17,Overweight
75,171.3,70.1,35162.06,23.89,Normal
65,184.7,79.1,10000.00,23.19,Normal
47,178.7,75.2,40814.62,23.55,Normal
78,175.5,79.2,59686.42,25.71,Overweight
57,163.3,59.8,57269.99,22.42,Normal
50,166.4,64.3,58054.28,23.22,Normal
50,169.3,71.6,31696.75,24.98,Normal
34,164.6,65.7,37362.52,24.25,Normal
24,173.5,69.9,18143.52,23.22,Normal
58,172.5,74.3,10000.00,24.97,Normal
82,162.4,66.3,45431.69,25.14,Overweight
22,178.4,77.4,25567.97,24.32,Normal
80,170.7,68.1,132141.73,23.37,Normal
78,157.9,58.5,10000.00,23.46,Normal
38,169.6,69.9,64970.93,24.30,Normal
64,172.0,67.1,200000.00,22.68,Normal
30,176.8,79.0,42413.27,25.27,Overweight
73,167.6,72.5,49876.49,25.81,Overweight
69,175.8,73.5,73386.14,23.78,Normal
43,171.3,71.5,78735.22,24.37,Normal
22,160.8,65.6,34617.74,25.37,Overweight
88,160.1,67.4,20177.26,26.30,Overweight
50,177.9,80.6,89969.59,25.47,Overweight
83,178.4,71.2,10000.00,22.37,Normal
67,172.3,70.3,105744.78,23.68,Normal
74,180.5,79.7,35142.26,24.46,Normal
73,177.4,74.0,50139.02,23.51,Normal
32,174.8,78.7,31155.04,25.76,Overweight
44,163.6,69.1,181239.14,25.82,Overweight
52,182.1,77.1,62560.41,23.25,Normal
54,173.8,72.0,37429.49,23.84,Normal
21,167.3,64.9,36492.63,23.19,Normal
57,165.3,65.0,43758.31,23.79,Normal
29,171.8,70.2,200000.00,23.78,Normal
72,158.3,63.0,15281.51,25.14,Overweight
67,174.9,70.8,132504.55,23.14,Normal
85,163.3,56.2,83372.44,21.07,Normal
72,172.6,66.7,199907.26,22.39,Normal
44,166.3,63.3,88074.51,22.89,Normal
88,168.1,65.9,50151.56,23.32,Normal
47,164.7,65.7,125216.95,24.22,Normal
41,168.9,65.2,61486.33,22.86,Normal
84,183.2,76.9,98640.65,22.91,Normal
45,179.7,74.7,180805.26,23.13,Normal
23,172.5,68.1,54341.65,22.89,Normal
52,169.8,67.5,34126.58,23.41,Normal
76,175.9,72.5,28010.86,23.43,Normal
31,177.9,78.0,75001.59,24.65,Normal
51,164.2,61.7,22684.26,22.88,Normal
27,169.5,67.9,36495.85,23.63,Normal
68,157.2,57.7,20930.58,23.35,Normal
52,177.9,78.4,79006.35,24.77,Normal
42,184.5,81.2,25408.48,23.85,Normal
34,170.6,73.0,15704.75,25.08,Overweight
59,155.1,54.3,18399.53,22.57,Normal
66,174.3,72.8,29905.53,23.96,Normal
86,163.7,62.6,32451.68,23.36,Normal
49,165.4,62.0,62698.05,22.66,Normal
29,174.4,72.8,43231.18,23.94,Normal
78,171.8,76.0,69776.88,25.75,Overweight
63,166.6,64.1,75006.46,23.09,Normal
69,165.5,65.4,97365.56,23.88,Normal
25,170.9,66.2,10000.00,22.67,Normal
40,167.1,62.6,18129.17,22.42,Normal
74,162.2,60.8,82386.46,23.11,Normal
78,167.7,66.1,60478.87,23.50,Normal
49,172.4,70.1,120453.36,23.59,Normal
76,168.8,67.7,12458.55,23.76,Normal
79,160.1,56.6,32602.33,22.08,Normal
46,176.9,73.2,38293.53,23.39,Normal
83,150.8,56.1,58086.33,24.67,Normal
39,166.9,62.8,51640.83,22.54,Normal
35,165.7,64.8,76263.39,23.60,Normal
67,171.0,71.1,45097.84,24.32,Normal
64,173.9,70.2,171936.57,23.21,Normal
28,177.9,77.0,200000.00,24.33,Normal
78,165.0,60.8,18281.98,22.33,Normal
32,174.1,75.4,52071.78,24.88,Normal
76,171.4,71.6,102536.40,24.37,Normal
18,158.0,60.1,84674.81,24.07,Normal
76,183.3,84.0,34638.43,25.00,Overweight
75,159.9,60.4,62890.90,23.62,Normal
74,172.9,69.9,12024.07,23.38,Normal
66,172.7,75.7,49145.99,25.38,Overweight
52,171.9,76.4,13433.47,25.85,Overweight
69,166.5,64.5,78980.74,23.27,Normal
38,175.8,73.8,18313.91,23.88,Normal
74,159.1,63.9,57902.05,25.24,Overweight
58,169.5,68.7,66639.60,23.91,Normal
51,166.1,68.0,53533.12,24.65,Normal
54,165.3,67.9,28311.42,24.85,Normal
59,173.0,70.1,41375.61,23.42,Normal
20,177.5,76.9,144747.02,24.41,Normal
28,167.6,67.4,34119.72,23.99,Normal
35,175.5,70.3,50973.71,22.82,Normal
26,170.3,66.6,30292.89,22.96,Normal
50,163.8,62.4,125261.98,23.26,Normal
66,168.2,70.7,53627.97,24.99,Normal
65,167.9,70.5,25139.65,25.01,Overweight
52,165.1,67.7,50321.67,24.84,Normal
80,173.0,73.1,40249.37,24.42,Normal
59,171.6,71.9,175098.19,24.42,Normal
23,158.9,61.4,48028.96,24.32,Normal
73,158.4,61.4,14404.62,24.47,Normal
59,173.0,73.3,78319.21,24.49,Normal
64,164.3,60.6,200000.00,22.45,Normal
59,172.1,68.7,146827.85,23.20,Normal
58,175.5,70.8,18529.85,22.99,Normal
24,161.1,65.6,39258.49,25.28,Overweight
58,160.1,66.5,48638.15,25.94,Overweight
76,181.7,72.7,49172.23,22.02,Normal
40,172.5,76.1,70448.97,25.57,Overweight
62,167.1,67.3,36683.68,24.10,Normal
20,163.5,67.2,21932.32,25.14,Overweight
43,166.4,68.0,117759.37,24.56,Normal
49,161.7,67.1,18188.94,25.66,Overweight
89,176.2,75.1,24291.30,24.19,Normal
33,164.6,60.9,18087.48,22.48,Normal
38,177.7,75.5,86748.59,23.91,Normal
47,167.2,68.6,55028.28,24.54,Normal
90,162.7,62.9,110739.02,23.76,Normal
80,167.0,68.9,24664.10,24.71,Normal
20,151.6,55.0,16188.66,23.93,Normal
35,169.2,66.9,33532.40,23.37,Normal
77,168.8,65.1,42426.60,22.85,Normal
22,175.8,73.0,60352.94,23.62,Normal
80,156.8,59.6,10999.73,24.24,Normal
38,178.1,70.2,76928.84,22.13,Normal
84,175.7,71.7,22358.54,23.23,Normal
39,178.8,70.7,27920.16,22.11,Normal
49,169.6,67.2,143791.10,23.36,Normal
66,177.1,78.9,10000.00,25.16,Overweight
27,159.7,57.7,66838.20,22.62,Normal
58,175.0,75.6,66611.60,24.69,Normal
54,164.6,73.6,23929.61,27.17,Overweight
75,158.4,64.6,33438.87,25.75,Overweight
90,162.1,63.5,150049.48,24.17,Normal
66,170.0,71.9,200000.00,24.88,Normal
47,164.2,60.6,130356.93,22.48,Normal
47,172.6,66.8,200000.00,22.42,Normal
48,157.3,59.5,26838.15,24.05,Normal
77,155.1,58.9,12060.64,24.48,Normal
41,179.6,80.7,47687.23,25.02,Overweight
30,176.3,72.9,103171.82,23.45,Normal
42,162.7,64.1,10000.00,24.21,Normal
19,170.0,69.8,21719.53,24.15,Normal
25,177.1,74.9,24002.73,23.88,Normal
24,172.9,71.5,68918.88,23.92,Normal
74,171.0,67.6,61367.51,23.12,Normal
70,177.7,76.6,24887.81,24.26,Normal
68,164.9,65.8,58783.02,24.20,Normal
51,170.2,68.2,17844.55,23.54,Normal
70,169.9,71.3,34063.99,24.70,Normal
29,168.1,70.9,16017.99,25.09,Overweight
83,167.3,69.2,43676.45,24.72,Normal
54,170.5,66.6,24326.90,22.91,Normal
86,170.2,69.8,93070.80,24.10,Normal
29,162.7,60.8,48835.36,22.97,Normal
54,175.6,74.3,40770.33,24.10,Normal
68,163.2,61.2,200000.00,22.98,Normal
54,168.5,72.0,70596.63,25.36,Overweight
50,167.9,70.0,35898.10,24.83,Normal
30,172.5,74.9,29567.07,25.17,Overweight
45,155.2,61.0,17269.94,25.32,Overweight
35,176.2,73.7,47121.41,23.74,Normal
40,165.3,64.3,65948.57,23.53,Normal
67,178.5,81.7,10000.00,25.64,Overweight
64,166.7,66.2,14649.96,23.82,Normal
62,169.7,65.1,31422.70,22.61,Normal
44,183.4,83.7,18609.28,24.88,Normal
88,168.1,68.2,51984.98,24.14,Normal
24,178.7,81.2,58906.99,25.43,Overweight
43,170.3,70.3,44788.27,24.24,Normal
26,172.9,71.7,82037.78,23.98,Normal
42,170.5,74.3,29535.77,25.56,Overweight
88,175.9,69.6,47976.37,22.49,Normal
44,165.2,63.7,20267.95,23.34,Normal
84,163.1,61.2,64597.83,23.01,Normal
54,165.5,59.2,53535.25,21.61,Normal
69,170.7,72.6,17002.18,24.92,Normal
51,168.5,66.5,43487.33,23.42,Normal
37,175.0,76.2,48326.66,24.88,Normal
